Order Date,Sales,Order Lines
2015-01-03,16.448,1
2015-01-04,288.06,3
2015-01-05,19.536,1
2015-01-06,4407.1,9
2015-01-07,87.15799999999999,2
2015-01-08,0.0,0
2015-01-09,40.544,2
2015-01-10,54.83,2
2015-01-11,9.94,1
2015-01-12,0.0,0
2015-01-13,3553.795,11
2015-01-14,61.96,1
2015-01-15,149.95,1
2015-01-16,299.964,4
2015-01-17,0.0,0
2015-01-18,64.864,1
2015-01-19,378.594,4
2015-01-20,2673.87,17
2015-01-21,0.0,0
2015-01-22,0.0,0
2015-01-23,40.08,1
2015-01-24,0.0,0
2015-01-25,0.0,0
2015-01-26,1097.25,9
2015-01-27,426.67,3
2015-01-28,3.928,1
2015-01-29,0.0,0
2015-01-30,240.5,2
2015-01-31,290.666,1
2015-02-01,468.9,1
2015-02-02,211.64600000000002,3
2015-02-03,97.11200000000001,2
2015-02-04,134.38400000000001,3
2015-02-05,0.0,0
2015-02-06,330.512,4
2015-02-07,180.32,2
2015-02-08,14.56,1
2015-02-09,0.0,0
2015-02-10,0.0,0
2015-02-11,2043.4,9
2015-02-12,129.568,1
2015-02-13,0.0,0
2015-02-14,576.726,4
2015-02-15,21.36,1
2015-02-16,9.04,2
2015-02-17,54.208,1
2015-02-18,37.784,2
2015-02-19,0.0,0
2015-02-20,95.59,3
2015-02-21,8.85,1
2015-02-22,19.44,1
2015-02-23,11.364,2
2015-02-24,55.672,2
2015-02-25,0.0,0
2015-02-26,0.0,0
2015-02-27,19.456,1
2015-02-28,0.0,0
2015-03-01,2203.151,10
2015-03-02,47.76,2
2015-03-03,1345.8919999999998,9
2015-03-04,370.452,2
2015-03-05,705.562,5
2015-03-06,0.0,0
2015-03-07,1561.062,8
2015-03-08,0.0,0
2015-03-09,0.0,0
2015-03-10,741.956,3
2015-03-11,918.314,8
2015-03-12,0.0,0
2015-03-13,0.0,0
2015-03-14,2108.55,11
2015-03-15,370.78200000000004,5
2015-03-16,471.92,1
2015-03-17,3960.358,19
2015-03-18,28106.716,11
2015-03-19,590.762,7
2015-03-20,0.0,0
2015-03-21,4109.816,11
2015-03-22,464.09299999999996,5
2015-03-23,945.064,3
2015-03-24,65.38,2
2015-03-25,459.146,5
2015-03-26,145.13,5
2015-03-27,0.0,0
2015-03-28,1493.216,3
2015-03-29,890.841,1
2015-03-30,1170.3220000000001,9
2015-03-31,1959.552,9
2015-04-01,119.88799999999999,4
2015-04-02,1458.558,6
2015-04-03,0.0,0
2015-04-04,475.844,8
2015-04-05,5179.738,12
2015-04-06,1650.69,13
2015-04-07,1021.1700000000001,5
2015-04-08,1958.75,7
2015-04-09,0.0,0
2015-04-10,0.0,0
2015-04-11,1915.24,9
2015-04-12,1872.443,5
2015-04-13,638.576,5
2015-04-14,0.0,0
2015-04-15,294.71999999999997,2
2015-04-16,39.072,1
2015-04-17,0.0,0
2015-04-18,1020.532,8
2015-04-19,205.47,3
2015-04-20,1250.45,4
2015-04-21,845.36,2
2015-04-22,257.752,2
2015-04-23,643.98,6
2015-04-24,0.0,0
2015-04-25,2379.9939999999997,6
2015-04-26,282.568,4
2015-04-27,0.0,0
2015-04-28,2578.476,9
2015-04-29,768.8439999999999,6
2015-04-30,1048.74,3
2015-05-01,0.0,0
2015-05-02,506.12,2
2015-05-03,72.632,3
2015-05-04,187.43200000000002,6
2015-05-05,260.977,7
2015-05-06,254.456,3
2015-05-07,1091.35,4
2015-05-08,1799.97,1
2015-05-09,394.48,6
2015-05-10,2343.799,8
2015-05-11,1642.802,8
2015-05-12,734.846,2
2015-05-13,898.382,6
2015-05-14,310.88,1
2015-05-15,0.0,0
2015-05-16,289.28,2
2015-05-17,91.68,1
2015-05-18,944.964,3
2015-05-19,91.62,2
2015-05-20,320.10400000000004,7
2015-05-21,4264.3279999999995,10
2015-05-22,180.93,2
2015-05-23,323.75800000000004,7
2015-05-24,116.28,1
2015-05-25,119.53999999999999,3
2015-05-26,1325.718,8
2015-05-27,2157.394,5
2015-05-28,221.96800000000002,3
2015-05-29,0.0,0
2015-05-30,1924.913,8
2015-05-31,773.7,2
2015-06-01,5188.5199999999995,11
2015-06-02,738.598,5
2015-06-03,531.16,2
2015-06-04,456.272,5
2015-06-05,0.0,0
2015-06-06,1374.0010000000002,9
2015-06-07,281.397,2
2015-06-08,2501.264,4
2015-06-09,5463.008,16
2015-06-10,491.55,1
2015-06-11,0.0,0
2015-06-12,0.0,0
2015-06-13,14.52,1
2015-06-14,212.94,1
2015-06-15,942.9739999999999,4
2015-06-16,763.792,4
2015-06-17,3356.4860000000003,4
2015-06-18,139.8,1
2015-06-19,0.0,0
2015-06-20,1828.9496,9
2015-06-21,4107.443,18
2015-06-22,1975.498,7
2015-06-23,109.49600000000001,3
2015-06-24,4.272,1
2015-06-25,792.76,4
2015-06-26,0.0,0
2015-06-27,616.14,3
2015-06-28,1645.791,6
2015-06-29,46.68,2
2015-06-30,739.624,8
2015-07-01,601.0239999999999,3
2015-07-02,79.56,2
2015-07-03,0.0,0
2015-07-04,247.40800000000002,4
2015-07-05,1444.104,10
2015-07-06,1038.472,2
2015-07-07,241.19400000000002,2
2015-07-08,763.0740000000001,3
2015-07-09,265.521,9
2015-07-10,0.0,0
2015-07-11,2022.356,9
2015-07-12,1960.012,12
2015-07-13,351.216,1
2015-07-14,292.594,9
2015-07-15,9.51,2
2015-07-16,0.0,0
2015-07-17,0.0,0
2015-07-18,273.04,2
2015-07-19,461.326,5
2015-07-20,2285.786,15
2015-07-21,1961.482,8
2015-07-22,1348.344,8
2015-07-23,2613.1839999999997,9
2015-07-24,0.0,0
2015-07-25,8341.289999999999,5
2015-07-26,5039.994,15
2015-07-27,580.06,3
2015-07-28,193.152,3
2015-07-29,0.0,0
2015-07-30,1367.84,1
2015-07-31,0.0,0
2015-08-01,228.328,6
2015-08-02,886.28,3
2015-08-03,477.994,6
2015-08-04,2743.154,9
2015-08-05,2408.7239999999997,12
2015-08-06,262.89,2
2015-08-07,0.0,0
2015-08-08,3955.629,13
2015-08-09,3605.6850000000004,9
2015-08-10,0.0,0
2015-08-11,451.62,4
2015-08-12,1545.73,9
2015-08-13,0.0,0
2015-08-14,0.0,0
2015-08-15,337.5,4
2015-08-16,853.092,1
2015-08-17,500.342,5
2015-08-18,0.0,0
2015-08-19,1439.106,7
2015-08-20,1838.722,4
2015-08-21,0.0,0
2015-08-22,23.104,3
2015-08-23,565.224,10
2015-08-24,59.74,4
2015-08-25,1451.6499999999999,14
2015-08-26,366.81,6
2015-08-27,2070.13,7
2015-08-28,0.0,0
2015-08-29,832.3225,5
2015-08-30,121.24,2
2015-08-31,92.52,1
2015-09-01,469.436,5
2015-09-02,3254.15,9
2015-09-03,22.08,2
2015-09-04,0.0,0
